FID,est_geom,id_tup,idttup,concessionaria,status,numero,dtativacao,dataultimacomunicacao,siglauf,nomemunicipio,localidade,bairro,logradouro,complemento,cep,deficientecadeirante,deficienteaudio,vintequatrohoras,latitude,longitude,metadado
TUP.fid--3508969f_1758ed087bb_-27d7,POINT (-38.533888 -3.763333),1482712602,68454,OI,DISPONIVEL,(85) 32571839,27/10/1995,29/10/2020 05h10,CE,FORTALEZA,Fortaleza,PARREAO,RUA TREZE DE ABRIL,0,60130210,NAO,NAO,NAO,-3.763333,-38.533888,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-27d6,POINT (-38.605555 -3.760833),1482712603,68516,OI,EM MANUTENCAO,(85) 32944559,19/01/1995,01/07/2019 05h07,CE,FORTALEZA,Fortaleza,CONJUNTO CEARA I,RUA 448,,60531180,NAO,NAO,NAO,-3.760833,-38.605555,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-27d5,POINT (-38.509444 -3.829721),1482712604,68517,OI,DISPONIVEL,(85) 32761322,01/09/1987,29/10/2020 05h10,CE,FORTALEZA,Fortaleza,BARROSO,AV JORN TOMAZ COELHO,0,60863254,NAO,NAO,NAO,-3.829721,-38.509444,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-27d4,POINT (-38.53111 -3.7625),1482712605,68553,OI,DISPONIVEL,(85) 32579123,01/12/1998,23/10/2020 09h10,CE,FORTALEZA,Fortaleza,VL UNIAO,RUA TERTULIANO SALES,0,60410794,NAO,NAO,NAO,-3.7625,-38.53111,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-27d3,POINT (-38.53111 -3.763055),1482712606,68554,OI,DISPONIVEL,(85) 32578845,06/11/1998,29/10/2020 05h10,CE,FORTALEZA,Fortaleza,VL UNIAO,RUA TERTULIANO SALES,0,60410794,NAO,NAO,NAO,-3.763055,-38.53111,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-27d2,POINT (-38.571943 -3.82861),1482712607,68555,OI,DISPONIVEL,(85) 34730091,28/12/1999,29/10/2020 06h10,CE,FORTALEZA,Fortaleza,PLANALTO AYRTON SENA,RUA JUVENTUDE,0,60766140,SIM,NAO,SIM,-3.82861,-38.571943,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-27d1,POINT (-38.506388 -3.737777),1482712608,68556,OI,DISPONIVEL,(85) 34611078,20/10/1998,29/10/2020 02h10,CE,FORTALEZA,Fortaleza,ALDEOTA,RUA SILVA PAULET,0,60120021,NAO,NAO,NAO,-3.737777,-38.506388,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-27d0,POINT (-38.532221 -3.727499),1482712609,68557,OI,DISPONIVEL,(85) 32543307,01/09/1987,29/10/2020 03h10,CE,FORTALEZA,Fortaleza,CENTRO,RUA VINTE E QUATRO DE MAIO,0,60020000,NAO,NAO,SIM,-3.727499,-38.532221,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26ca,POINT (-38.591944 -3.749444),1482712905,68568,OI,EM MANUTENCAO,(85) 32357542,02/01/2001,02/10/2020 03h10,CE,FORTALEZA,Fortaleza,ANTONIO BEZERRA,RUA VALE COSTA,0,60360720,NAO,NAO,NAO,-3.749444,-38.591944,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26b1,POINT (-38.53361 -3.734999),1482712895,68558,OI,EM MANUTENCAO,(85) 32521249,31/05/2012,29/10/2020 01h10,CE,FORTALEZA,Fortaleza,BENFICA,AV DA UNIVERSIDADE,0,60020180,NAO,SIM,NAO,-3.734999,-38.53361,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26b0,POINT (-38.563611 -3.747221),1482712896,68559,OI,EM MANUTENCAO,(85) 34823636,10/02/1995,11/09/2020 03h09,CE,FORTALEZA,Fortaleza,BELA VISTA,RUA VINTE E UM DE ABRIL,0,60442605,NAO,NAO,NAO,-3.747221,-38.563611,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26af,POINT (-38.542221 -3.743888),1482712897,68560,OI,DISPONIVEL,(85) 32818290,01/09/1987,29/10/2020 08h10,CE,FORTALEZA,Fortaleza,BENFICA,AV DA UNIVERSIDADE,0,60020181,NAO,NAO,SIM,-3.743888,-38.542221,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26ae,POINT (-38.541944 -3.744444),1482712898,68561,OI,DISPONIVEL,(85) 32143260,31/03/1998,29/10/2020 06h10,CE,FORTALEZA,Fortaleza,BENFICA,AV DA UNIVERSIDADE,0,60020181,NAO,NAO,SIM,-3.744444,-38.541944,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26ad,POINT (-38.540555 -3.742499),1482712899,68562,OI,DISPONIVEL,(85) 32142720,01/09/1987,24/10/2020 04h10,CE,FORTALEZA,Fortaleza,BENFICA,AV DA UNIVERSIDADE,0,60020181,NAO,NAO,SIM,-3.742499,-38.540555,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26ac,POINT (-38.533888 -3.73361),1482712900,68563,OI,DISPONIVEL,(85) 32541385,16/05/1997,29/10/2020 08h10,CE,FORTALEZA,Fortaleza,CENTRO,RUA VINTE E QUATRO DE MAIO,0,60020000,NAO,NAO,NAO,-3.73361,-38.533888,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26ab,POINT (-38.522777 -3.730554),1482712901,68564,OI,DISPONIVEL,(85) 32546349,09/04/1996,29/10/2020 04h10,CE,FORTALEZA,Fortaleza,CENTRO,RUA VINTE E CINCO DE MARCO,0,60060120,NAO,NAO,NAO,-3.730554,-38.522777,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26aa,POINT (-38.587221 -3.802777),1482712902,68565,OI,DISPONIVEL,(85) 32961215,01/09/1987,29/10/2020 10h10,CE,FORTALEZA,Fortaleza,NOVO MONDUBIM,AV WALDIR DIOGO,0,60764020,NAO,NAO,NAO,-3.802777,-38.587221,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26a9,POINT (-38.597777 -3.738888),1482712903,68566,OI,DISPONIVEL,(85) 32357513,23/11/2000,29/10/2020 03h10,CE,FORTALEZA,Fortaleza,ANTONIO BEZERRA,RUA S VICENTE DE PAULO,0,60352370,NAO,NAO,NAO,-3.738888,-38.597777,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26a8,POINT (-38.517499 -3.753888),1482712904,68567,OI,DISPONIVEL,(85) 34720084,31/12/1999,29/10/2020 02h10,CE,FORTALEZA,Fortaleza,SAO JOAO DO TAUAPE,RUA FR VIDAL,0,60120100,NAO,NAO,NAO,-3.753888,-38.517499,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26a7,POINT (-38.479721 -3.793055),1482712906,68569,OI,DISPONIVEL,(85) 32739607,22/07/2009,18/10/2020 08h10,CE,FORTALEZA,Fortaleza,SAPIRANGA,AV WASHINGTON SOARES,0,60833005,NAO,NAO,NAO,-3.793055,-38.479721,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26a6,POINT (-38.527777 -3.721943),1482712907,68570,OI,EM MANUTENCAO,(85) 32522160,01/09/1987,27/07/2020 08h07,CE,FORTALEZA,Fortaleza,CENTRO,RUA BR RIO BRANCO,0,60025060,NAO,NAO,NAO,-3.721943,-38.527777,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26a5,POINT (-38.52861 -3.72861),1482712908,68571,OI,DISPONIVEL,(85) 32541693,11/08/2000,29/10/2020 04h10,CE,FORTALEZA,Fortaleza,CENTRO,RUA BR RIO BRANCO,0,60025060,NAO,NAO,NAO,-3.72861,-38.52861,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26a4,POINT (-38.550833 -3.731666),1482712909,68572,OI,DISPONIVEL,(85) 32817875,24/01/1997,29/10/2020 01h10,CE,FORTALEZA,Fortaleza,ALAGADICO,RUA BENJAMIM BARROSO,0,60325450,NAO,NAO,NAO,-3.731666,-38.550833,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26a3,POINT (-38.588333 -3.813888),1482712910,68573,OI,DISPONIVEL,(85) 32961825,01/09/1987,29/10/2020 12h10,CE,FORTALEZA,Fortaleza,CJ ESPERANCA,RUA 101,0,60763500,NAO,NAO,SIM,-3.813888,-38.588333,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26a2,POINT (-38.485555 -3.836666),1482712911,68574,OI,DISPONIVEL,(85) 32747663,14/06/2001,29/10/2020 04h10,CE,FORTALEZA,Fortaleza,COACU,RUA MQA SANTOS,0,60871645,NAO,NAO,SIM,-3.836666,-38.485555,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26a1,POINT (-38.476943 -3.775554),1482712912,68575,OI,DISPONIVEL,(85) 32782538,15/07/1997,29/10/2020 05h10,CE,FORTALEZA,Fortaleza,EDSON QUEIROZ,RUA HIL MORAES,0,60811760,NAO,NAO,NAO,-3.775554,-38.476943,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-26a0,POINT (-38.592221 -3.749444),1482712913,68576,OI,EM MANUTENCAO,(85) 32905346,01/09/1987,11/09/2020 07h09,CE,FORTALEZA,Fortaleza,AUTRAN NUNES,RUA CARD ARCOVERDE,0,60526400,NAO,NAO,NAO,-3.749444,-38.592221,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-269e,POINT (-38.562777 -3.802777),1482712915,68625,OI,DISPONIVEL,(85) 34675792,14/05/2001,29/10/2020 08h10,CE,FORTALEZA,Fortaleza,JD CEARENSE,RUA 4 CJ CAMPO DOS INGLESES,0,60712274,NAO,NAO,SIM,-3.802777,-38.562777,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
